ABS;MUTLAK
HYPGEOMDIST;HİPERGEOMDAĞ
IF;EĞER
IFERROR;EĞERHATA
IFNA;EĞERYOKSA
IMABS;SANMUTLAK
IMAGINARY;SANAL
IMARGUMENT;SANBAĞ_DEĞİŞKEN
IMCONJUGATE;SANEŞLENEK
IMCOS;SANCOS
IMCOSH;SANCOSH
IMCOT;IMCOT
IMCSC;SANCSC
IMCSCH;SANCSCH
IMDIV;SANBÖL
IMEXP;SANÜS
IMLN;SANLN
IMLOG10;SANLOG10
IMLOG2;SANLOG2
IMPOWER;SANKUVVET
IMPRODUCT;SANÇARP
IMREAL;SANGERÇEK
IMSEC;SANSEC
IMSECH;SANSECH
IMSIN;SANSIN
IMSINH;SANSINH
IMSQRT;SANKAREKÖK
IMSUB;SANTOPLA
IMSUM;SANÇIKAR
IMTAN;SANTAN
INDEX;İNDİS
INDIRECT;DOLAYLI
INFO;BİLGİ
INT;TAMSAYI
INTERCEPT;KESMENOKTASI
INTRATE;FAİZORANI
IPMT;FAİZTUTARI
IRR;İÇ_VERİM_ORANI
ISBLANK;EBOŞSA
ISERR;EHATA
ISERROR;EHATALIYSA
ISEVEN;ÇİFTMİ
ISFORMULA;EFORMÜLSE
ISLOGICAL;EMANTIKSALSA
ISNA;EYOKSA
ISNONTEXT;EMETİNDEĞİLSE
ISNUMBER;ESAYIYSA
ISO.CEILING;ISO.TAVAN
ISODD;TEKMİ
ISOWEEKNUM;ISOHAFTASAY
ISPMT;ISPMT
ISREF;EREFSE
ISTEXT;EMETİNSE
KURT;BASIKLIK
LARGE;BÜYÜK
LCM;OKEK
LEFT, LEFTB;SOLDAN, SOLB
LEN, LENB;UZUNLUK, UZUNLUKB
LINEST;DOT
LN;LN
LOG;LOG
LOG10;LOG10
LOGEST;LOT
LOGINV;LOGTERS
LOGNORM.DIST;LOGNORM.DAĞ
LOGNORM.INV;LOGNORM.TERS
LOGNORMDIST;LOGNORMDAĞ
LOOKUP;ARA
LOWER;KÜÇÜKHARF
MATCH;KAÇINCI
MAX;MAK
MAXA;MAKA
MDETERM;DETERMİNANT
MDURATION;MSÜRE
MEDIAN;ORTANCA
MID, MIDB;PARÇAAL, ORTAB
MIN;MİN
MINA;MİNA
MINUTE;DAKİKA
